Mixture	B cells naive	B cells memory	Plasma cells	T cells CD8	T cells CD4 naive	T cells CD4 memory resting	T cells CD4 memory activated	T cells follicular helper	T cells regulatory (Tregs)	T cells gamma delta	NK cells resting	NK cells activated	Monocytes	Macrophages M0	Macrophages M1	Macrophages M2	Dendritic cells resting	Dendritic cells activated	Mast cells resting	Mast cells activated	Eosinophils	Neutrophils	P-value	Correlation	RMSE
TCGA-53-7624-01A	0.105056853315163	0	0.070901808862946	0.0843455382242859	0	0.0862149190886762	0.0309812948360731	0.0356767740280891	0.0447243893936817	0	0	0.0217776762938414	0	0.183359177047894	0.170106705627246	0.100100193301537	0	0.057621389666964	0.00110129415496193	0	0.00803198615864028	0	0	0.327658045214837	0.957081346130657
TCGA-L9-A7SV-01A	0.0522714050566762	0	0.0883568245022688	0.138084574267751	0	0.209818017179616	0.0177424737024428	0.109656632969789	0	0	0	0.0119351600797349	0.0085025920944363	0.0311801065349858	0.101083824528798	0.185724399217334	0.0131951679522022	0.000245024019842776	0.0146500283777021	0	0.0175537695164208	0	0.34	0.0637374725312089	1.06158761780449
TCGA-50-8460-01A	0	0.0408021700000496	0.0968770521571809	0.0694406964632471	0	0.122381728952742	0	0.0385446081939075	0.0553868153529903	0	0	0.042319446303297	0.0690445254707666	0.00641864303841517	0	0.0924966210059427	0.132772832334154	0.0897599063902267	0.143754954337081	0	0	0	0.42	0.045755760984056	1.04659582329538
TCGA-L9-A444-01A	0.0254258491703956	0	0.108788314231103	0.254392370073048	0	0.130679440185176	0.0761841017277006	0.00111784122704536	0.0420854353952306	0	0.0452779968641887	0.0172128173024889	0.00776468986771372	0.0434993657442173	0.0966775222239993	0.0905386541973211	0.0128876370220253	0	0.0456016829169129	0	0	0.00186628185143282	0	0.47663231881225	0.878733091576006
TCGA-05-4249-01A	0.00117217928091052	0.0173300661698627	0.0667953731122451	0.0307963770000196	0	0.0957245379799403	0	0.0362062278404813	0.030847153072247	0	0	0.00631024879066704	0.00297512446954387	0	0.042186065435291	0.143259538897101	0.347109110203667	0.0139959895102971	0.131164404345797	0	0	0.0341276038919288	0	0.482130428335584	0.877965099390058
TCGA-55-6979-01A	0	0	0.0474526781627879	0.0926714422651427	0	0.107744260553674	0.056133615881414	0.0394021785479596	0.0486429406627093	0	0	0.032192321399005	0.00641190746854216	0.149002709745525	0.177793518837026	0.18989642250988	0.0147613727359315	0	0.0298329648088608	0	0	0.00806166642154151	0	0.614578436702752	0.79866201420515
TCGA-75-7025-01A	0.0387816336139057	0.0558074880693155	0.0245233388380581	0.103341108966256	0	0.177243346852829	0	0.0201040576863981	0.0526880008810695	0	0.012766595635583	0.0190406257256571	0.0914838960377266	0	0.00205988211457552	0.0554844857078234	0.188519112156621	0.0816167371325087	0.0765396905816726	0	0	0	0	0.343069813768694	0.939633883372949
TCGA-62-8395-01A	0.00237108804237665	0	0.127383797043362	0.0558163263797642	0	0.141867863804584	3.15107552602632e-05	0.0331878348363359	0.0056475280256992	0	0	0.0206415179829989	0.01746074837447	0.128590567011474	0.0326650579273179	0.219884303397198	0.127833470079098	0.0103171154328216	0.0763012709072381	0	0	0	0.01	0.301754858801581	0.957891822368458
TCGA-05-4425-01A	0.0101212232085268	0.00115845020816678	0	0.00747377990796791	0	0.154428527909398	0.0158302334848951	0.023282900117835	0.0367759994424299	0.0224261651265384	0	0	0	0.218432381393094	0.062938465593504	0.243998454897719	0.152487154804478	0	0.0475093230081367	0	0	0.00313694089731024	0	0.642201974139532	0.782529640777903
TCGA-62-8394-01A	0.0259952060690929	0	0.0142725693389483	0.0182578878942123	0	0.181081227099286	0	0.0264553256537114	0.0563803500051795	0	0	0.0103600236445089	0	0.229213127696436	0.0999300743250089	0.151599072841439	0	0.134444745856416	0.0520103895757619	0	0	0	0	0.35642832851821	0.943283159181882
TCGA-49-6767-01A	0.0213736245996576	0	0.00681195888825641	0.190771410627115	0	0.0698982389797288	0.0759449668152429	0.0156863332345911	0.0351725009793302	0	0.0137291885070442	0.0134483376078651	0	0.344333165371265	0.083709207017743	0.0980527646770386	0.00890816850093872	0	0.0221601341941827	0	0	0	0	0.381668774200391	0.932017832714562
TCGA-55-8204-01A	0.00923849445130474	0	0.276654625271584	0.0126123259240309	0	0.110758686281627	0.0818560759315652	0.00127486322218765	0	0	0	0.0412415761964412	0.00382119725659543	0.04700244278791	0.14143945782763	0.0399698011907383	0.0696594081585365	0	0.130725987063657	0	0	0.0337450584361917	0	0.408985133380869	0.912314676972309
TCGA-MN-A4N1-01A	0.016271719798893	0	0.0334179261775604	0	0	0.0691654258888288	0	0.0274999491220275	0.114857167492744	0	0.000256529297839199	0	0.036786579029519	0.345759248852533	0.00605973696374959	0.160519662591734	0.0677838642191411	0.0886932234825205	0.0125828590936996	0	0.0203461079892102	0	0.01	0.300592364025235	0.977683243794401
TCGA-35-4123-01A	0.0129443485835846	0	0.0236187713410283	0.313524944966429	0	0.0422811383950075	0.087396394721552	0.0657998888665839	0.0215313249865157	0	0	0.00627442962230793	0.00683088044212676	0.100022643012204	0.0673716892874316	0.16823960136059	0.0481796336791749	0.00260308057288064	0.00778096549124651	0.0124762258597125	0.0131240388116236	0	0	0.50291071343354	0.865194250798603
TCGA-55-1594-01A	0.0868443841589278	0	0.133189326839017	0.105997630028419	0	0.148705334027705	0.0118820516821312	0.0216953994371554	0.0115489308177448	0	0	0.033741359839098	0	0.101902947060506	0.0990901609755985	0.131853779946709	0.0657629030959222	0	0.0283630985378534	0	0	0.0194226935532125	0.01	0.245187386081075	0.97985996220631
TCGA-MP-A4SV-01A	0.0139948019463927	0	0.0580611472076591	0.17486239544445	0	0.116477454394239	0.0326261084429067	0.0349671128978999	0.08325935403633	0	0.0507423504990836	0.0215810886628013	0.00907354393662397	0.103913953895146	0.132167679922735	0.0928282419816355	0.0164728133803017	0.0150234917542234	0.0439484615975717	0	0	0	0	0.482616692674722	0.875260032311293
TCGA-75-6214-01A	0.0326812117378686	0	0.00872533769388477	0.090562011385509	0	0.182544533923606	0.0281003786567582	0.0554279620842464	0.0231524074927792	0	0.00194605486890943	0.00716264032293827	0	0.214491786744759	0.0858333275975754	0.134075590862169	0.0530332783440312	0.0286206273796021	0.0171169768154	0	0	0.0365258740899639	0.06	0.171744596370855	1.02461136294735
TCGA-44-6777-01A	0.000624758496216308	0.0010014599149692	0.0721322008450051	0.0411368724912664	0	0.08827297770653	0.00347157416373361	0.0201529512312476	0.0279881852170327	0	0	0.0373418412042099	0.0164367070420447	0.104216389010364	0.062090570401321	0.296105229057118	0.105880966778653	0.0156609374828866	0.0836317302466921	0	0	0.0238546487107091	0	0.551742457812128	0.842333139138794
TCGA-73-4662-01A	0.0513289547272041	0	0.108262736535344	0.0301454306138225	0	0.177496752826025	0.0190345901331829	0.046280431029664	0.0302839034879505	0.00857819888507517	0	0.0120911943739426	0.0339197537769615	0.0973146193653442	0.0241402601134495	0.134527568316247	0.110839189299563	0.0529476784988097	0.0571820618663001	0	0.00123940869041971	0.00438726746069478	0.01	0.321090114446814	0.947637474962815
TCGA-78-7149-01A	0	0.00987145110496271	0.320889744319012	0.111020734486509	0	0.0872536460655957	0	0.0377102132242673	0.0323930071003228	0	0	0.0482750052247115	0	0.0742742266548224	0.0874980434948473	0.0802630519311346	0.0138346250855023	0.0209413030822756	0.0706965632090043	0	0.00163469773955609	0.00344368727747732	0.06	0.166830542241694	1.00730974556435
TCGA-05-4426-01A	0.0340500235875905	0	0	0.058824158682446	0	0.190903768722283	0	0.000451116064385909	0.0752380885546552	0	0	0.0338810519895734	0.0428829196971026	0.232252336734953	0.0361800067370818	0.196004509949682	0.0184145867947826	0	0.0432196985777815	0	0	0.0376977339076826	0.01	0.278240239017713	0.977315330694812
